Product Name,Price,Location,Shop Name,Rating,Sold,Image,Link
SPOTEC Sepatu Running Wylder Biru Muda - Biru Tua,Rp299.925,Jakarta Utara,Spotec Official Store,4.8,Terjual 100+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/e5c2285b-8f36-42c9-9f56-482dcf1fa29f.png,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Ja6_HNH_Khbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUEH_UOHmFircYpq9z2Qfdi6sJDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAnDH_K7ou7DUMNwyfVXgcBjy9zB9fVjraUEH_eabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6s1pHidpo_eaoAyR6_UNosrRbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1NAoIxvuV17_1zz8JY1u_zozVVd_Ozgq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_jH7HjO1u92vzVJa_uzu8jYJ1_-ouVB2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1Okqpooz7Nt33OgPVBW_9B68_nF3MOqQ1h1gRxguVV7_32Dq7OJ_M268jja_uztqJB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjPR8uxEz_zozJUdgjPR8c-I6_oMZIxp__Jd8JYJ1_VMZIxEgJrh6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBo8Bud_c2SH1Y1u9Pvzcrh_S2gHJNJyp--q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfB6zJ7O_c2V8JO1z_-ozcDp_1zVP7O1yp--QsnYUiFiyfhOrRzBrBY2gVYfHiUEH_ya6_UDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdHAnibmUh6_nOUiFiH_K7oZUDUsJNHAKibmUh6A1FUiFiH_K7oiUDUsJdoAKi9ZFirI-2yfuwyMBjUsthHs1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6srOHidhHsJdosepHArN6Aepbm-hP3ua8uYag3hay3N09RosQR-BUstFbsrFHAy7oAURHsjaH_efHpzY?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fspotec%2Fspotec-sepatu-running-wylder-biru-muda-biru-tua-38%3FextParam%3Divf%253Dfalse%26src%3Dtopads&ob=23&pub_id=0&pub_domain=0&page=1&pub_unit=0&keywords=sepatu&is_search=1&management_type=1&dv=desktop&src=search
FED Sepatu Sneaker Casual SANO WHITE,Rp129.900,Bekasi,Genta Bacania,4.8,Terjual 60+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/7/fef3bef5-0d9f-4165-b05f-dcc8ae07ef62.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jhopUaH_jFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUE6AnFbm-FQRo2PcB5QiUEHiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pJRo_jDH_KFHmFh6AeO9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEoArabsHd6AeNHp1Ro_J7osHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j781O1z9PozcWd_S2z8jO1z_uoqMo2_JoGqMzUZMgsHBgtyfO6Q7BkQfB61pe7_1zgHJN1z_-ouJjO_1zo81Ok33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_320H7OI_MxgQuB733Oo81NNHACqQu2W_VzS8VB119zoqMh0_1z6qjNEZ_-oucxtZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGrfUpgAxMzRPN3I2VoJOJesxMzRPdyjrNHfgU8IooH_xd_7zzH3gU8I2jzpJdgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OE_9BHqjJh_1zSH7YJu_CoucWN_jzSq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-8jYJqRu6qBJ7_Bzzo1OJ1_z6uJjF_joG6ZUDUMoDP9o7g9-wq3zwPsUi6seFo_yfbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AnFUiFiH_jFoZUDUsJdoA1ibmUh6_ndUiFiH_KOHmUDUsJdoAyibmUh6AedUB7DUSCaq3oB9f-2gmUE6AnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6syRHZdN6_jRHAJd6_UNHsjfbm-hP3ua8uYag3hay3N09RosQR-BUstFbsrfo_JhoAyF6AJpo_ydo_-Y?ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fgbacania%2Ffed-sepatu-sneaker-casual-sano-white-putih-44%3FextParam%3Divf%253Dfalse%26src%3Dtopads&t=desktop&dv=desktop&is_search=1&pub_id=0&pub_unit=0&keywords=sepatu&src=search&pub_domain=0&page=1&management_type=1
TVF Footwear - Sepatu Sandal RAUNG Hitam,Rp159.900,Depok,TVF FOOTWEAR,4.9,Terjual 500+,https://images.tokopedia.net/img/cache/200-square/product-1/2020/3/16/35681057/35681057_8329b8ac-f1b7-49bb-8c0e-c25a293236b5_1080_1080,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopKpHsJdHsyDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_yNH_UFHpU76ZFiyRCsUsthHs1Fbm-FQRo2PcB5QiUEHaFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pJRo_jDH_KFHmFh6Ae79ZFiQBYsy3Njq3zxPcuwy3zpUsthoAUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEo_JfbsraoAHN6AKOoseFopUDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2So1YJu_VozcoN_jzg8jNE3_zo17BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-81Y1yRPgHjg23MjhquBEZ_oHuV-W3MOgPJYJzMx6epCN_OPzP77a__ooqBBd_7PVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OW8IgjHRKdyjzGgjO1gRPoZIKdyjzcrfUpgAxMZJdFyBxd6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9BvuVuO_S2SoJNkypCozcDa_92CHjNk13BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_CoqBBO_32VoJY1z_ooqMWd_1z0HJN2Zsjibm-sQIupPcua9fBj9RyaUsthopjDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdHAnibmUh6_nOUiFiH_K7oZUDUsJNHAKibmUh6A1FUiFiH_K7oiUDUsJdoAKi9ZFirI-2yfuwyMBjUsthHs1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6syfHiddoAjRoA1OosrfH_jpbm-hP3ua8uYag3hay3N09RosQR-BUstFbse7HA1dHpHFo_URosKNos17we?t=desktop&ob=23&management_type=2&keywords=sepatu&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Ftvffootwear%2Ftvf-footwear-sepatu-sandal-raung-hitam-37%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&pub_id=0&pub_unit=0&src=search&page=1&dv=desktop
Sepatu Boots Petani Sawah Panjang 110cm Anti Keong Keret Waterproof ,Rp225.000,Jakarta Barat,Xpioneer Teknik,5.0,Terjual 50+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/14/bd99a2ef-1ba2-4815-9b9c-48b8cfd3397a.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jOHpKN6_Kabm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUEHsHFHmFircYpq9z2Qfdi6seDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAnDH_K76V7DUMNwyfVXgcBjy9zB9fVjraUEH_eabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6s1FomdR6_1RHArOopjdHsUfoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeh_OzSoJOJZ92vuVuN_1z0H1YJe_u-q9P23_oZ8uKp_Mhg3J2ky1o-ojBke3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_320H7OI_MxgQuB733Oo81NNHACqQu2W_VzS8VB119zoqMh0_1z6qjNEZ_-oucxtZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGrfUpgAxMzRPN3I2VoJOJesxMzRPdyjrNHfgU8IooH_xd_7zzocgU8I2jzpJdgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEyRxHqjuE_92So1N1qpzvzJ7p_OzS8jB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1NJz_-Hqj7p_OzuHjNJe_-6uV1F_Ozg8jBXHA7ibm-sQIupPcua9fBj9RyaUstNH_jabm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AnFUiFiH_jFoZUDUsJdoA1ibmUh6_ndUiFiH_KOHmUDUsJdoAyibmUh6AedUB7DUSCaq3oB9f-2gmUEHsHFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfo_yXH_nfHAUNHpnpH_1f6ZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdposj76_JpH_yR6Aj7HArOwe?pub_id=0&pub_domain=0&t=desktop&dv=desktop&keywords=sepatu&pub_unit=0&src=search&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fxpioneer%2Fsepatu-boots-petani-sawah-panjang-110cm-anti-keong-keret-waterproof-hijau-39-d04ad%3FextParam%3Divf%253Dtrue%26src%3Dtopads&is_search=1&page=1&management_type=1
Ardiles Nfinity Flash Sepatu Running - Biru Hijau,Rp599.800,Kab. Serang,Ardiles Official Store,4.9,Terjual 30+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/28/f3603a5b-a611-4908-b42a-c605ccf2e0a8.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jfo_rdo_JNbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUEHp1Fbm-FQRo2PcB5QiUEoZFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pJRo_jDH_KFHmFh6AeO9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEoA1NbsyFHA1ao_Ud6AJNHArDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1j7_c2o8jOE_92o8jOE_92o8jOE_92oq1BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-81Y1yRPgHjg23MjhquBEZ_oHuV-W3MOgPJYJzMx6epCN_OPzP77a__ooqBBd_7PVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OW8IgjHRKdyjzGgjO1gRPoZIKdyjzcrfUpgAxMzRPE3I2VoJNJusxMZJdFyBxd6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9BvzcoO_Bz-o1Y1Z_oozJJO_1zu8jOkyfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9268MWO_uzCP7NJZ92oucPd_M2uHjNAZsjibm-sQIupPcua9fBj9RyaUstaHsnaHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_KFHmUDUsJNHA1ibmUh6AeOUiFiH_jF6mUDUsJdo_nibmUh6AefUiFiH_K76m-Pbm-FrMBsguYiq3ei6sHOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfoArXop1FopJO6AefoseF6mFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdR6AHRo_1pHpUNopHFHAHdwe?is_search=1&pub_id=0&pub_domain=0&src=search&management_type=1&keywords=sepatu&page=1&t=desktop&dv=desktop&pub_unit=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fardiles%2Fardiles-nfinity-flash-sepatu-running-biru-hijau-biru-hijau-39%3FextParam%3Divf%253Dfalse%26src%3Dtopads&ob=23
Servodio 36-44 Navy Sepatu Sneakers Casual Pria Wanita SV02,Rp79.600,Kab. Mojokerto,Servodio Official Store,4.9,Terjual 100+,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/3/27/1cd1a647-1a20-4540-9385-b366df226e0b.jpg,https://www.tokopedia.com/servodioofficialstore/servodio-36-44-navy-sepatu-sneakers-casual-pria-wanita-sv02-navy-37?extParam=ivf%3Dfalse%26src%3Dsearch
SEPATU SNEAKERS ORTUSEIGHT RELIEVE - BLACK/WHITE,Rp449.650,Jakarta Barat,RANK Sports,5.0,Terjual 15,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/6/5/d9f5fa76-ace1-49d8-aaae-aa8dc3000677.jpg,https://www.tokopedia.com/ranksports/sepatu-sneakers-ortuseight-relieve-black-white-40?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D3125298
100%premium Sepatu volly badminton court ff control blue white Vietnam,Rp355.000,Bandung,Iyustaufik,4.8,Terjual 50+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/9/d12f2c50-1133-47a5-8daf-df67a8e9c1b4.jpg,https://www.tokopedia.com/iyustaufikglosir/100-premium-sepatu-volly-badminton-court-ff-control-blue-white-vietnam-nova-fullblack-40?extParam=ivf%3Dfalse%26src%3Dsearch
Sepatu Boot Pendek HUNTER SP 1 JOSS KUNING,Rp56.000,Jakarta Barat,redshroom,4.8,Terjual 100+,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/2/21/f63628ce-c08e-4e2b-a37d-6033b015c31a.jpg,https://www.tokopedia.com/redshroom/sepatu-boot-pendek-hunter-sp-1-joss-kuning-25-b8af?extParam=ivf%3Dfalse%26src%3Dsearch
SEPATU BOOT TINGGI AP BOOTS AP MOTO 2 HITAM MERAH MOTOR SIZE 38-45,Rp97.000,Jakarta Barat,redshroom,4.9,Terjual 3 rb+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/26/02353039-0f5b-4eed-83ec-453e174df421.jpg,https://www.tokopedia.com/redshroom/sepatu-boot-tinggi-ap-boots-ap-moto-2-hitam-merah-motor-size-38-45-38?extParam=ivf%3Dfalse%26src%3Dsearch
